Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
417,30,Yes,No,No,Borrowed the book from a library,Yes,No
418,30,Yes,No,Yes,Purchased the book,No,Yes
419,30,Yes,Yes,Yes,Purchased the book,No,No
420,30,Yes,No,Yes,Purchased the book,Yes,Yes
421,30,Yes,No,Yes,Purchased the book,No,No
422,30,Yes,No,No,Purchased the book,Yes,No
423,30,Yes,No,No,Purchased the book,Yes,No
424,30,Yes,Yes,Yes,Purchased the book,No,Yes
425,30,Don’t know,Yes,No,Borrowed the book from a library,Yes,Yes
426,30,Yes,No,No,Purchased the book,Yes,Yes
427,30,Yes,Yes,Don’t know,Got the book some other way,Yes,Yes
428,30,Yes,Yes,Yes,Purchased the book,Yes,Yes
429,30,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
430,30,Yes,No,Yes,Purchased the book,Yes,Yes
431,30,Yes,No,No,Borrowed the book from a library,No,Yes
432,30,Yes,No,Yes,Purchased the book,Yes,Yes
433,30,Yes,No,Yes,Purchased the book,No,No
434,30,Yes,Yes,No,Purchased the book,Yes,Yes
435,30,Yes,Don’t know,Yes,Borrowed the book from a friend or family member,Yes,Yes
436,30,Yes,No,No,Got the book some other way,Yes,No
437,30,Yes,No,Yes,Got the book some other way,No,No
438,30,Yes,Yes,No,Borrowed the book from a library,Yes,No
439,30,Yes,No,Yes,Purchased the book,Yes,Yes
440,30,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
441,30,No,No,No,Got the book some other way,Yes,No
442,30,Yes,No,No,Borrowed the book from a library,Yes,No
443,30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
444,30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
445,30,Yes,No,No,Purchased the book,Yes,Yes
446,30,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
447,30,Yes,No,Yes,Purchased the book,Yes,Yes
448,30,Yes,No,No,Purchased the book,Yes,No
449,30,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
450,30,Yes,No,No,Borrowed the book from a library,Yes,Yes
451,30,Yes,No,No,Purchased the book,No,Yes
452,30,Yes,No,No,Purchased the book,Yes,Yes
453,30,Yes,Yes,Yes,Purchased the book,No,Yes
454,30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
455,30,Yes,No,Yes,Purchased the book,Yes,Yes
456,30,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
457,30,Yes,No,No,Purchased the book,No,Yes
458,30,Yes,No,No,Purchased the book,No,Yes
